Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.532
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.561
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.438
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.618
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.708
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.585
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.705
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.681
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.427
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.428
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.49
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.491
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.422
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.673
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.59
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.971
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.805
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.612
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.66
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.644
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.507
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.527
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.729
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.61
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.613
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.673
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.509
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.743
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.661
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.359
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.298
