Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.817
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.935
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.934
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.967
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.965
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.158
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.126
