Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.429
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.616
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.689
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.664
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.467
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.755
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.895
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.636
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.393
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.906
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.609
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.405
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.79
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.808
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.761
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.929
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.904
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.335
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.281
