Model,Task,Accuracy
rinna/japanese-gpt2-small,drop_argument,0.596
rinna/japanese-gpt2-small,ellipsis_n_bar_1,0.534
rinna/japanese-gpt2-small,ellipsis_n_bar_2,0.939
rinna/japanese-gpt2-small,existential_there_object_raising,0.608
rinna/japanese-gpt2-small,existential_there_quantifiers_1,0.676
rinna/japanese-gpt2-small,existential_there_quantifiers_2,0.144
rinna/japanese-gpt2-small,existential_there_subject_raising,0.608
rinna/japanese-gpt2-small,expletive_it_object_raising,0.584
rinna/japanese-gpt2-small,inchoative,0.46
rinna/japanese-gpt2-small,intransitive,0.459
rinna/japanese-gpt2-small,irregular_past_participle_adjectives,0.933
rinna/japanese-gpt2-small,irregular_past_participle_verbs,0.163
rinna/japanese-gpt2-small,irregular_plural_subject_verb_agreement_1,0.538
rinna/japanese-gpt2-small,irregular_plural_subject_verb_agreement_2,0.51
rinna/japanese-gpt2-small,left_branch_island_echo_question,0.732
rinna/japanese-gpt2-small,left_branch_island_simple_question,0.233
rinna/japanese-gpt2-small,matrix_question_npi_licensor_present,0.295
rinna/japanese-gpt2-small,npi_present_1,0.14
rinna/japanese-gpt2-small,npi_present_2,0.212
rinna/japanese-gpt2-small,only_npi_licensor_present,0.468
rinna/japanese-gpt2-small,only_npi_scope,0.235
rinna/japanese-gpt2-small,passive_1,0.573
rinna/japanese-gpt2-small,passive_2,0.578
rinna/japanese-gpt2-small,principle_A_c_command,0.295
rinna/japanese-gpt2-small,principle_A_case_1,0.514
rinna/japanese-gpt2-small,principle_A_case_2,0.559
rinna/japanese-gpt2-small,principle_A_domain_1,0.24
rinna/japanese-gpt2-small,principle_A_domain_2,0.47
rinna/japanese-gpt2-small,principle_A_domain_3,0.504
rinna/japanese-gpt2-small,principle_A_reconstruction,0.108
rinna/japanese-gpt2-small,regular_plural_subject_verb_agreement_1,0.463
rinna/japanese-gpt2-small,regular_plural_subject_verb_agreement_2,0.516
rinna/japanese-gpt2-small,sentential_negation_npi_licensor_present,0.829
rinna/japanese-gpt2-small,sentential_negation_npi_scope,0.349
rinna/japanese-gpt2-small,sentential_subject_island,0.331
rinna/japanese-gpt2-small,superlative_quantifiers_1,0.536
rinna/japanese-gpt2-small,superlative_quantifiers_2,0.228
rinna/japanese-gpt2-small,tough_vs_raising_1,0.614
rinna/japanese-gpt2-small,tough_vs_raising_2,0.436
rinna/japanese-gpt2-small,transitive,0.583
rinna/japanese-gpt2-small,wh_island,0.018
rinna/japanese-gpt2-small,wh_questions_object_gap,0.134
rinna/japanese-gpt2-small,wh_questions_subject_gap,0.279
rinna/japanese-gpt2-small,wh_questions_subject_gap_long_distance,0.367
rinna/japanese-gpt2-small,wh_vs_that_no_gap,0.146
rinna/japanese-gpt2-small,wh_vs_that_no_gap_long_distance,0.182
rinna/japanese-gpt2-small,wh_vs_that_with_gap,0.883
rinna/japanese-gpt2-small,wh_vs_that_with_gap_long_distance,0.82
