Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.629
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.84
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.671
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.397
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.61
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.531
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.456
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.732
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.882
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.773
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.637
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.46
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.919
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.989
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.611
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.418
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.85
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.828
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.743
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.723
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.92
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.969
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.964
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.334
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.271
