Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.774
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.656
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.819
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.888
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.86
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.324
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.323
