Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.656
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,0.994
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.603
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.575
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.624
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.679
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.541
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.484
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.68
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.737
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.646
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.634
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.783
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.884
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.284
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.226
