Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.455
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.945
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.927
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.855
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.944
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.939
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.136
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.119
