Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.948
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.644
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.278
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.791
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.7
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.618
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.538
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.693
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.672
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.412
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.573
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.645
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.673
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.469
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.723
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.669
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.711
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.664
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.602
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.927
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.575
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.345
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.847
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.782
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.667
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.722
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.585
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.884
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.843
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.955
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.276
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.249
