Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.628
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.51
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.184
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.109
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.629
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.144
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.216
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.422
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.401
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.095
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.158
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.236
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.223
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.107
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.374
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.199
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.275
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.104
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.193
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.513
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.268
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.467
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.91
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,0.042
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.136
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.589
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.077
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.361
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.578
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.137
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.213
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.326
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.255
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.355
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.457
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.345
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.632
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.21
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.495
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.281
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.624
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.485
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.525
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.501
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.4
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.332
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.459
DiscoResearch/Llama3-German-8B,adjunct_island,0.187
DiscoResearch/Llama3-German-8B,anaphor_gender_agreement,0.87
DiscoResearch/Llama3-German-8B,anaphor_number_agreement,0.909
DiscoResearch/Llama3-German-8B,animate_subject_passive,0.659
DiscoResearch/Llama3-German-8B,animate_subject_trans,0.253
DiscoResearch/Llama3-German-8B,causative,0.403
DiscoResearch/Llama3-German-8B,complex_NP_island,0.355
DiscoResearch/Llama3-German-8B,coordinate_structure_constraint_complex_left_branch,0.416
DiscoResearch/Llama3-German-8B,coordinate_structure_constraint_object_extraction,0.143
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_1,0.577
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_2,0.496
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_irregular_1,0.474
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_irregular_2,0.501
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_with_adj_2,0.504
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_with_adj_irregular_1,0.478
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_with_adj_irregular_2,0.534
DiscoResearch/Llama3-German-8B,determiner_noun_agreement_with_adjective_1,0.581
DiscoResearch/Llama3-German-8B,distractor_agreement_relational_noun,0.282
DiscoResearch/Llama3-German-8B,distractor_agreement_relative_clause,0.593
DiscoResearch/Llama3-German-8B,drop_argument,0.435
DiscoResearch/Llama3-German-8B,ellipsis_n_bar_1,0.631
DiscoResearch/Llama3-German-8B,ellipsis_n_bar_2,0.599
DiscoResearch/Llama3-German-8B,existential_there_object_raising,0.263
DiscoResearch/Llama3-German-8B,existential_there_quantifiers_1,0.251
DiscoResearch/Llama3-German-8B,existential_there_quantifiers_2,0.614
DiscoResearch/Llama3-German-8B,existential_there_subject_raising,0.268
DiscoResearch/Llama3-German-8B,expletive_it_object_raising,0.311
DiscoResearch/Llama3-German-8B,inchoative,0.42
DiscoResearch/Llama3-German-8B,intransitive,0.432
DiscoResearch/Llama3-German-8B,irregular_past_participle_adjectives,0.185
DiscoResearch/Llama3-German-8B,irregular_past_participle_verbs,0.231
DiscoResearch/Llama3-German-8B,irregular_plural_subject_verb_agreement_1,0.226
DiscoResearch/Llama3-German-8B,irregular_plural_subject_verb_agreement_2,0.171
DiscoResearch/Llama3-German-8B,left_branch_island_echo_question,0.075
DiscoResearch/Llama3-German-8B,left_branch_island_simple_question,0.402
DiscoResearch/Llama3-German-8B,matrix_question_npi_licensor_present,0.512
DiscoResearch/Llama3-German-8B,npi_present_1,0.236
DiscoResearch/Llama3-German-8B,npi_present_2,0.169
DiscoResearch/Llama3-German-8B,only_npi_licensor_present,0.384
DiscoResearch/Llama3-German-8B,only_npi_scope,0.635
DiscoResearch/Llama3-German-8B,passive_1,0.382
DiscoResearch/Llama3-German-8B,passive_2,0.499
DiscoResearch/Llama3-German-8B,principle_A_c_command,0.928
DiscoResearch/Llama3-German-8B,principle_A_case_1,0.136
DiscoResearch/Llama3-German-8B,principle_A_case_2,0.344
DiscoResearch/Llama3-German-8B,principle_A_domain_1,0.808
DiscoResearch/Llama3-German-8B,principle_A_domain_2,0.163
DiscoResearch/Llama3-German-8B,principle_A_domain_3,0.403
DiscoResearch/Llama3-German-8B,principle_A_reconstruction,0.484
DiscoResearch/Llama3-German-8B,regular_plural_subject_verb_agreement_1,0.159
DiscoResearch/Llama3-German-8B,regular_plural_subject_verb_agreement_2,0.204
DiscoResearch/Llama3-German-8B,sentential_negation_npi_licensor_present,0.601
DiscoResearch/Llama3-German-8B,sentential_negation_npi_scope,0.451
DiscoResearch/Llama3-German-8B,sentential_subject_island,0.469
DiscoResearch/Llama3-German-8B,superlative_quantifiers_1,0.39
DiscoResearch/Llama3-German-8B,superlative_quantifiers_2,0.583
DiscoResearch/Llama3-German-8B,tough_vs_raising_1,0.647
DiscoResearch/Llama3-German-8B,tough_vs_raising_2,0.294
DiscoResearch/Llama3-German-8B,transitive,0.519
DiscoResearch/Llama3-German-8B,wh_island,0.478
DiscoResearch/Llama3-German-8B,wh_questions_object_gap,0.656
DiscoResearch/Llama3-German-8B,wh_questions_subject_gap,0.449
DiscoResearch/Llama3-German-8B,wh_questions_subject_gap_long_distance,0.547
DiscoResearch/Llama3-German-8B,wh_vs_that_no_gap,0.498
DiscoResearch/Llama3-German-8B,wh_vs_that_no_gap_long_distance,0.492
DiscoResearch/Llama3-German-8B,wh_vs_that_with_gap,0.437
DiscoResearch/Llama3-German-8B,wh_vs_that_with_gap_long_distance,0.488
DeepMount00/Llama-3-8b-Ita,adjunct_island,0.215
DeepMount00/Llama-3-8b-Ita,anaphor_gender_agreement,0.588
DeepMount00/Llama-3-8b-Ita,anaphor_number_agreement,0.533
DeepMount00/Llama-3-8b-Ita,animate_subject_passive,0.581
DeepMount00/Llama-3-8b-Ita,animate_subject_trans,0.264
DeepMount00/Llama-3-8b-Ita,causative,0.282
DeepMount00/Llama-3-8b-Ita,complex_NP_island,0.488
DeepMount00/Llama-3-8b-Ita,coordinate_structure_constraint_complex_left_branch,0.33
DeepMount00/Llama-3-8b-Ita,coordinate_structure_constraint_object_extraction,0.079
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_1,0.255
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_2,0.435
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_irregular_1,0.276
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_irregular_2,0.442
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_2,0.446
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_irregular_1,0.269
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adj_irregular_2,0.456
DeepMount00/Llama-3-8b-Ita,determiner_noun_agreement_with_adjective_1,0.352
DeepMount00/Llama-3-8b-Ita,distractor_agreement_relational_noun,0.16
DeepMount00/Llama-3-8b-Ita,distractor_agreement_relative_clause,0.341
DeepMount00/Llama-3-8b-Ita,drop_argument,0.345
DeepMount00/Llama-3-8b-Ita,ellipsis_n_bar_1,0.685
DeepMount00/Llama-3-8b-Ita,ellipsis_n_bar_2,0.336
DeepMount00/Llama-3-8b-Ita,existential_there_object_raising,0.193
DeepMount00/Llama-3-8b-Ita,existential_there_quantifiers_1,0.189
DeepMount00/Llama-3-8b-Ita,existential_there_quantifiers_2,0.635
DeepMount00/Llama-3-8b-Ita,existential_there_subject_raising,0.095
DeepMount00/Llama-3-8b-Ita,expletive_it_object_raising,0.286
DeepMount00/Llama-3-8b-Ita,inchoative,0.299
DeepMount00/Llama-3-8b-Ita,intransitive,0.293
DeepMount00/Llama-3-8b-Ita,irregular_past_participle_adjectives,0.033
DeepMount00/Llama-3-8b-Ita,irregular_past_participle_verbs,0.128
DeepMount00/Llama-3-8b-Ita,irregular_plural_subject_verb_agreement_1,0.128
DeepMount00/Llama-3-8b-Ita,irregular_plural_subject_verb_agreement_2,0.11
DeepMount00/Llama-3-8b-Ita,left_branch_island_echo_question,0.489
DeepMount00/Llama-3-8b-Ita,left_branch_island_simple_question,0.394
DeepMount00/Llama-3-8b-Ita,matrix_question_npi_licensor_present,0.509
DeepMount00/Llama-3-8b-Ita,npi_present_1,0.231
DeepMount00/Llama-3-8b-Ita,npi_present_2,0.119
DeepMount00/Llama-3-8b-Ita,only_npi_licensor_present,0.326
DeepMount00/Llama-3-8b-Ita,only_npi_scope,0.339
DeepMount00/Llama-3-8b-Ita,passive_1,0.217
DeepMount00/Llama-3-8b-Ita,passive_2,0.412
DeepMount00/Llama-3-8b-Ita,principle_A_c_command,0.787
DeepMount00/Llama-3-8b-Ita,principle_A_case_1,0.01
DeepMount00/Llama-3-8b-Ita,principle_A_case_2,0.083
DeepMount00/Llama-3-8b-Ita,principle_A_domain_1,0.558
DeepMount00/Llama-3-8b-Ita,principle_A_domain_2,0.086
DeepMount00/Llama-3-8b-Ita,principle_A_domain_3,0.362
DeepMount00/Llama-3-8b-Ita,principle_A_reconstruction,0.264
DeepMount00/Llama-3-8b-Ita,regular_plural_subject_verb_agreement_1,0.092
DeepMount00/Llama-3-8b-Ita,regular_plural_subject_verb_agreement_2,0.097
DeepMount00/Llama-3-8b-Ita,sentential_negation_npi_licensor_present,0.648
DeepMount00/Llama-3-8b-Ita,sentential_negation_npi_scope,0.342
DeepMount00/Llama-3-8b-Ita,sentential_subject_island,0.376
DeepMount00/Llama-3-8b-Ita,superlative_quantifiers_1,0.313
DeepMount00/Llama-3-8b-Ita,superlative_quantifiers_2,0.231
DeepMount00/Llama-3-8b-Ita,tough_vs_raising_1,0.382
DeepMount00/Llama-3-8b-Ita,tough_vs_raising_2,0.258
DeepMount00/Llama-3-8b-Ita,transitive,0.403
DeepMount00/Llama-3-8b-Ita,wh_island,0.343
DeepMount00/Llama-3-8b-Ita,wh_questions_object_gap,0.637
DeepMount00/Llama-3-8b-Ita,wh_questions_subject_gap,0.44
DeepMount00/Llama-3-8b-Ita,wh_questions_subject_gap_long_distance,0.401
DeepMount00/Llama-3-8b-Ita,wh_vs_that_no_gap,0.362
DeepMount00/Llama-3-8b-Ita,wh_vs_that_no_gap_long_distance,0.249
DeepMount00/Llama-3-8b-Ita,wh_vs_that_with_gap,0.367
DeepMount00/Llama-3-8b-Ita,wh_vs_that_with_gap_long_distance,0.634
beomi/Llama-3-KoEn-8B,adjunct_island,0.149
beomi/Llama-3-KoEn-8B,anaphor_gender_agreement,0.749
beomi/Llama-3-KoEn-8B,anaphor_number_agreement,0.653
beomi/Llama-3-KoEn-8B,animate_subject_passive,0.592
beomi/Llama-3-KoEn-8B,animate_subject_trans,0.239
beomi/Llama-3-KoEn-8B,causative,0.414
beomi/Llama-3-KoEn-8B,complex_NP_island,0.364
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_complex_left_branch,0.441
beomi/Llama-3-KoEn-8B,coordinate_structure_constraint_object_extraction,0.1
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_1,0.268
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_2,0.424
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_1,0.284
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_irregular_2,0.443
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_2,0.433
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_1,0.275
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adj_irregular_2,0.462
beomi/Llama-3-KoEn-8B,determiner_noun_agreement_with_adjective_1,0.323
beomi/Llama-3-KoEn-8B,distractor_agreement_relational_noun,0.176
beomi/Llama-3-KoEn-8B,distractor_agreement_relative_clause,0.311
beomi/Llama-3-KoEn-8B,drop_argument,0.353
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_1,0.583
beomi/Llama-3-KoEn-8B,ellipsis_n_bar_2,0.465
beomi/Llama-3-KoEn-8B,existential_there_object_raising,0.178
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_1,0.13
beomi/Llama-3-KoEn-8B,existential_there_quantifiers_2,0.474
beomi/Llama-3-KoEn-8B,existential_there_subject_raising,0.208
beomi/Llama-3-KoEn-8B,expletive_it_object_raising,0.213
beomi/Llama-3-KoEn-8B,inchoative,0.31
beomi/Llama-3-KoEn-8B,intransitive,0.301
beomi/Llama-3-KoEn-8B,irregular_past_participle_adjectives,0.132
beomi/Llama-3-KoEn-8B,irregular_past_participle_verbs,0.136
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_1,0.17
beomi/Llama-3-KoEn-8B,irregular_plural_subject_verb_agreement_2,0.166
beomi/Llama-3-KoEn-8B,left_branch_island_echo_question,0.23
beomi/Llama-3-KoEn-8B,left_branch_island_simple_question,0.436
beomi/Llama-3-KoEn-8B,matrix_question_npi_licensor_present,0.372
beomi/Llama-3-KoEn-8B,npi_present_1,0.124
beomi/Llama-3-KoEn-8B,npi_present_2,0.08
beomi/Llama-3-KoEn-8B,only_npi_licensor_present,0.065
beomi/Llama-3-KoEn-8B,only_npi_scope,0.334
beomi/Llama-3-KoEn-8B,passive_1,0.295
beomi/Llama-3-KoEn-8B,passive_2,0.444
beomi/Llama-3-KoEn-8B,principle_A_c_command,0.81
beomi/Llama-3-KoEn-8B,principle_A_case_1,0.014
beomi/Llama-3-KoEn-8B,principle_A_case_2,0.153
beomi/Llama-3-KoEn-8B,principle_A_domain_1,0.616
beomi/Llama-3-KoEn-8B,principle_A_domain_2,0.071
beomi/Llama-3-KoEn-8B,principle_A_domain_3,0.325
beomi/Llama-3-KoEn-8B,principle_A_reconstruction,0.394
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_1,0.131
beomi/Llama-3-KoEn-8B,regular_plural_subject_verb_agreement_2,0.164
beomi/Llama-3-KoEn-8B,sentential_negation_npi_licensor_present,0.303
beomi/Llama-3-KoEn-8B,sentential_negation_npi_scope,0.199
beomi/Llama-3-KoEn-8B,sentential_subject_island,0.464
beomi/Llama-3-KoEn-8B,superlative_quantifiers_1,0.369
beomi/Llama-3-KoEn-8B,superlative_quantifiers_2,0.138
beomi/Llama-3-KoEn-8B,tough_vs_raising_1,0.335
beomi/Llama-3-KoEn-8B,tough_vs_raising_2,0.353
beomi/Llama-3-KoEn-8B,transitive,0.517
beomi/Llama-3-KoEn-8B,wh_island,0.252
beomi/Llama-3-KoEn-8B,wh_questions_object_gap,0.529
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap,0.383
beomi/Llama-3-KoEn-8B,wh_questions_subject_gap_long_distance,0.448
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap,0.464
beomi/Llama-3-KoEn-8B,wh_vs_that_no_gap_long_distance,0.414
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap,0.271
beomi/Llama-3-KoEn-8B,wh_vs_that_with_gap_long_distance,0.399
