Model,Task,Accuracy
gpt2,principle_A_reconstruction,0.311
gpt2,regular_plural_subject_verb_agreement_1,0.383
gpt2,regular_plural_subject_verb_agreement_2,0.427
gpt2,sentential_negation_npi_licensor_present,0.838
gpt2,sentential_negation_npi_scope,0.173
gpt2,sentential_subject_island,0.612
gpt2,superlative_quantifiers_1,0.43
gpt2,superlative_quantifiers_2,0.21
gpt2,tough_vs_raising_1,0.44
gpt2,tough_vs_raising_2,0.527
gpt2,transitive,0.562
gpt2,wh_island,0.215
gpt2,wh_questions_object_gap,0.891
gpt2,wh_questions_subject_gap,0.785
gpt2,wh_questions_subject_gap_long_distance,0.772
gpt2,wh_vs_that_no_gap,0.897
gpt2,wh_vs_that_no_gap_long_distance,0.656
gpt2,wh_vs_that_with_gap,0.071
gpt2,wh_vs_that_with_gap_long_distance,0.261
rinna/japanese-gpt2-small,adjunct_island,0.363
rinna/japanese-gpt2-small,anaphor_gender_agreement,0.331
rinna/japanese-gpt2-small,anaphor_number_agreement,0.521
rinna/japanese-gpt2-small,animate_subject_passive,0.531
rinna/japanese-gpt2-small,animate_subject_trans,0.82
rinna/japanese-gpt2-small,causative,0.628
rinna/japanese-gpt2-small,complex_NP_island,0.351
rinna/japanese-gpt2-small,coordinate_structure_constraint_complex_left_branch,0.78
rinna/japanese-gpt2-small,coordinate_structure_constraint_object_extraction,0.293
rinna/japanese-gpt2-small,determiner_noun_agreement_1,0.507
rinna/japanese-gpt2-small,determiner_noun_agreement_2,0.494
rinna/japanese-gpt2-small,determiner_noun_agreement_irregular_1,0.511
rinna/japanese-gpt2-small,determiner_noun_agreement_irregular_2,0.476
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adj_2,0.493
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adj_irregular_1,0.513
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adj_irregular_2,0.481
rinna/japanese-gpt2-small,determiner_noun_agreement_with_adjective_1,0.501
rinna/japanese-gpt2-small,distractor_agreement_relational_noun,0.516
rinna/japanese-gpt2-small,distractor_agreement_relative_clause,0.509
rinna/japanese-gpt2-small,drop_argument,0.609
rinna/japanese-gpt2-small,ellipsis_n_bar_1,0.374
rinna/japanese-gpt2-small,ellipsis_n_bar_2,0.321
rinna/japanese-gpt2-small,existential_there_object_raising,0.422
rinna/japanese-gpt2-small,existential_there_quantifiers_1,0.797
rinna/japanese-gpt2-small,existential_there_quantifiers_2,0.887
rinna/japanese-gpt2-small,existential_there_subject_raising,0.51
rinna/japanese-gpt2-small,expletive_it_object_raising,0.473
rinna/japanese-gpt2-small,inchoative,0.532
rinna/japanese-gpt2-small,intransitive,0.652
rinna/japanese-gpt2-small,irregular_past_participle_adjectives,0.022
rinna/japanese-gpt2-small,irregular_past_participle_verbs,0.771
rinna/japanese-gpt2-small,irregular_plural_subject_verb_agreement_1,0.456
rinna/japanese-gpt2-small,irregular_plural_subject_verb_agreement_2,0.514
rinna/japanese-gpt2-small,left_branch_island_echo_question,0.685
rinna/japanese-gpt2-small,left_branch_island_simple_question,0.624
rinna/japanese-gpt2-small,matrix_question_npi_licensor_present,0.266
rinna/japanese-gpt2-small,npi_present_1,0.118
rinna/japanese-gpt2-small,npi_present_2,0.12
rinna/japanese-gpt2-small,only_npi_licensor_present,0.0
rinna/japanese-gpt2-small,only_npi_scope,0.305
rinna/japanese-gpt2-small,passive_1,0.495
rinna/japanese-gpt2-small,passive_2,0.497
rinna/japanese-gpt2-small,principle_A_c_command,0.358
rinna/japanese-gpt2-small,principle_A_case_1,1.0
rinna/japanese-gpt2-small,principle_A_case_2,0.269
rinna/japanese-gpt2-small,principle_A_domain_1,1.0
rinna/japanese-gpt2-small,principle_A_domain_2,0.528
rinna/japanese-gpt2-small,principle_A_domain_3,0.535
rinna/japanese-gpt2-small,principle_A_reconstruction,0.693
rinna/japanese-gpt2-small,regular_plural_subject_verb_agreement_1,0.604
rinna/japanese-gpt2-small,regular_plural_subject_verb_agreement_2,0.465
rinna/japanese-gpt2-small,sentential_negation_npi_licensor_present,0.993
rinna/japanese-gpt2-small,sentential_negation_npi_scope,0.738
rinna/japanese-gpt2-small,sentential_subject_island,0.717
rinna/japanese-gpt2-small,superlative_quantifiers_1,0.0
rinna/japanese-gpt2-small,superlative_quantifiers_2,0.259
rinna/japanese-gpt2-small,tough_vs_raising_1,0.307
rinna/japanese-gpt2-small,tough_vs_raising_2,0.726
rinna/japanese-gpt2-small,transitive,0.436
rinna/japanese-gpt2-small,wh_island,0.978
rinna/japanese-gpt2-small,wh_questions_object_gap,1.0
rinna/japanese-gpt2-small,wh_questions_subject_gap,1.0
rinna/japanese-gpt2-small,wh_questions_subject_gap_long_distance,1.0
rinna/japanese-gpt2-small,wh_vs_that_no_gap,1.0
rinna/japanese-gpt2-small,wh_vs_that_no_gap_long_distance,1.0
rinna/japanese-gpt2-small,wh_vs_that_with_gap,0.0
rinna/japanese-gpt2-small,wh_vs_that_with_gap_long_distance,0.0
GroNLP/gpt2-small-dutch,adjunct_island,0.34
GroNLP/gpt2-small-dutch,anaphor_gender_agreement,0.66
GroNLP/gpt2-small-dutch,anaphor_number_agreement,0.521
GroNLP/gpt2-small-dutch,animate_subject_passive,0.517
GroNLP/gpt2-small-dutch,animate_subject_trans,0.792
GroNLP/gpt2-small-dutch,causative,0.583
GroNLP/gpt2-small-dutch,complex_NP_island,0.329
GroNLP/gpt2-small-dutch,coordinate_structure_constraint_complex_left_branch,0.705
GroNLP/gpt2-small-dutch,coordinate_structure_constraint_object_extraction,0.356
GroNLP/gpt2-small-dutch,determiner_noun_agreement_1,0.501
GroNLP/gpt2-small-dutch,determiner_noun_agreement_2,0.49
GroNLP/gpt2-small-dutch,determiner_noun_agreement_irregular_1,0.494
GroNLP/gpt2-small-dutch,determiner_noun_agreement_irregular_2,0.531
GroNLP/gpt2-small-dutch,determiner_noun_agreement_with_adj_2,0.473
GroNLP/gpt2-small-dutch,determiner_noun_agreement_with_adj_irregular_1,0.528
GroNLP/gpt2-small-dutch,determiner_noun_agreement_with_adj_irregular_2,0.537
GroNLP/gpt2-small-dutch,determiner_noun_agreement_with_adjective_1,0.496
GroNLP/gpt2-small-dutch,distractor_agreement_relational_noun,0.48
GroNLP/gpt2-small-dutch,distractor_agreement_relative_clause,0.53
GroNLP/gpt2-small-dutch,drop_argument,0.616
GroNLP/gpt2-small-dutch,ellipsis_n_bar_1,0.63
GroNLP/gpt2-small-dutch,ellipsis_n_bar_2,0.319
GroNLP/gpt2-small-dutch,existential_there_object_raising,0.442
GroNLP/gpt2-small-dutch,existential_there_quantifiers_1,0.718
GroNLP/gpt2-small-dutch,existential_there_quantifiers_2,0.989
GroNLP/gpt2-small-dutch,existential_there_subject_raising,0.518
GroNLP/gpt2-small-dutch,expletive_it_object_raising,0.459
GroNLP/gpt2-small-dutch,inchoative,0.538
GroNLP/gpt2-small-dutch,intransitive,0.611
GroNLP/gpt2-small-dutch,irregular_past_participle_adjectives,0.363
GroNLP/gpt2-small-dutch,irregular_past_participle_verbs,0.785
GroNLP/gpt2-small-dutch,irregular_plural_subject_verb_agreement_1,0.513
GroNLP/gpt2-small-dutch,irregular_plural_subject_verb_agreement_2,0.486
GroNLP/gpt2-small-dutch,left_branch_island_echo_question,0.075
GroNLP/gpt2-small-dutch,left_branch_island_simple_question,0.681
GroNLP/gpt2-small-dutch,matrix_question_npi_licensor_present,0.696
GroNLP/gpt2-small-dutch,npi_present_1,0.0
GroNLP/gpt2-small-dutch,npi_present_2,0.0
GroNLP/gpt2-small-dutch,only_npi_licensor_present,0.0
GroNLP/gpt2-small-dutch,only_npi_scope,0.701
GroNLP/gpt2-small-dutch,passive_1,0.458
GroNLP/gpt2-small-dutch,passive_2,0.464
GroNLP/gpt2-small-dutch,principle_A_c_command,0.29
GroNLP/gpt2-small-dutch,principle_A_case_1,1.0
GroNLP/gpt2-small-dutch,principle_A_case_2,0.438
GroNLP/gpt2-small-dutch,principle_A_domain_1,1.0
GroNLP/gpt2-small-dutch,principle_A_domain_2,0.46
GroNLP/gpt2-small-dutch,principle_A_domain_3,0.481
GroNLP/gpt2-small-dutch,principle_A_reconstruction,0.681
GroNLP/gpt2-small-dutch,regular_plural_subject_verb_agreement_1,0.437
GroNLP/gpt2-small-dutch,regular_plural_subject_verb_agreement_2,0.451
GroNLP/gpt2-small-dutch,sentential_negation_npi_licensor_present,1.0
GroNLP/gpt2-small-dutch,sentential_negation_npi_scope,0.817
GroNLP/gpt2-small-dutch,sentential_subject_island,0.598
GroNLP/gpt2-small-dutch,superlative_quantifiers_1,0.0
GroNLP/gpt2-small-dutch,superlative_quantifiers_2,0.093
GroNLP/gpt2-small-dutch,tough_vs_raising_1,0.444
GroNLP/gpt2-small-dutch,tough_vs_raising_2,0.589
GroNLP/gpt2-small-dutch,transitive,0.459
GroNLP/gpt2-small-dutch,wh_island,0.363
GroNLP/gpt2-small-dutch,wh_questions_object_gap,0.611
GroNLP/gpt2-small-dutch,wh_questions_subject_gap,0.793
GroNLP/gpt2-small-dutch,wh_questions_subject_gap_long_distance,0.845
GroNLP/gpt2-small-dutch,wh_vs_that_no_gap,0.611
GroNLP/gpt2-small-dutch,wh_vs_that_no_gap_long_distance,0.772
GroNLP/gpt2-small-dutch,wh_vs_that_with_gap,0.328
GroNLP/gpt2-small-dutch,wh_vs_that_with_gap_long_distance,0.247
