Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.967
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.205
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.847
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.773
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.692
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.607
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.98
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.86
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.646
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.339
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.649
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.687
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.478
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.753
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.731
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.777
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.893
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.997
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.801
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.651
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.446
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.927
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.88
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.665
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.457
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.829
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.781
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.929
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.9
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.973
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.968
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.331
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.277
