Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.896
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.642
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.364
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.88
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.628
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.475
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.711
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.755
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.718
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.907
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.887
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.367
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.312
